;Thinning;Ecosystem services;Biodiversity;Decay;Density;Extensive livestock production potential;Pests;Erosion prevention;Blocking of succession;Reforested surface
Thinning;;0,6;1;-1;-1;1;-0,6;0,8;-1;
Ecosystem services;;;;;;;;;;
Biodiversity;;0,9;;-1;;;-1;;;
Decay;;;;;;;;;;
Density;;;;0,8;;;0,8;;1;
Extensive livestock production potential;;;;;;;;;;
Pests;;;;;;;;;;
Erosion prevention;;;;;;;;;;
Blocking of succession;;;;;;;;;;
Reforested surface;;0,6;0,8;;;;;0,9;;
